"AAPL.High","AAPL.Open","AAPL.Close","AAPL.Low","AAPL.Volume","AAPL.Adjusted","AAPL.High.SMA50","AAPL.Open.SMA50","AAPL.Close.SMA50","AAPL.Low.SMA50","AAPL.Volume.SMA50","AAPL.Adjusted.SMA50","AAPL.High.SMA200","AAPL.Open.SMA200","AAPL.Close.SMA200","AAPL.Low.SMA200","AAPL.Volume.SMA200","AAPL.Adjusted.SMA200","crosses"
31.174999,31.1425,30.8125,30.727501,158184800,28.089678,30.97750004,30.7122999,30.66919982,30.37675002,239127520,27.9306037,NA,NA,NA,NA,NA,NA,NA
31.6,31.012501,31.592501,31,188398800,28.800749,31.05920006,30.78254992,30.76694984,30.46345,238094376,28.02162998,NA,NA,NA,NA,NA,NA,NA
31.622499,31.522499,31.1075,31.09,168362400,28.358606,31.15375004,30.8778499,30.85914986,30.55925002,235180560,28.10758178,NA,NA,NA,NA,NA,NA,NA
31.280001,31.205,31.0625,30.775,162485600,28.317581,31.23450006,30.96274992,30.93679986,30.64225002,234438280,28.18031806,NA,NA,NA,NA,NA,NA,NA
31.389999,31.2575,31.33,31.047501,128880400,28.561445,31.30700006,31.04314994,31.01564984,30.72185006,233129816,28.25416328,NA,NA,NA,NA,NA,NA,NA
31.877501,31.1175,31.8375,31.0825,148776000,29.024101,31.38220008,31.11419992,31.09039984,30.79490006,231801624,28.32432192,NA,NA,NA,NA,NA,NA,NA
32.029999,31.91,31.502501,31.495001,140049200,28.718702,31.45405006,31.1908999,31.15554984,30.86715008,230885424,28.38573918,NA,NA,NA,NA,NA,NA,NA
31.6,31.4625,31.4,31.2425,149316800,28.625265,31.51425006,31.25144992,31.21804984,30.92800006,229422560,28.44474294,NA,NA,NA,NA,NA,NA,NA
31.645,31.4625,31.639999,31.165001,129936000,28.844051,31.58475004,31.31859992,31.30514982,31.00615008,224375784,28.52610168,NA,NA,NA,NA,NA,NA,NA
31.8025,31.487499,31.775,31.315001,160752000,28.967117,31.63020002,31.36019992,31.36409984,31.05590012,215872656,28.58190848,NA,NA,NA,NA,NA,NA,NA
32.142502,32.092499,31.7125,31.6525,145460400,28.910143,31.67710004,31.4204499,31.40384984,31.11115014,212026952,28.6202764,NA,NA,NA,NA,NA,NA,NA
31.8225,31.75,31.575001,31.477501,102098400,28.784796,31.71355004,31.4634499,31.44954984,31.15645016,207369280,28.66403732,NA,NA,NA,NA,NA,NA,NA
31.782499,31.602501,31.695,31.502501,115881600,28.894184,31.75335002,31.5052499,31.49029986,31.20610018,204667784,28.70331196,NA,NA,NA,NA,NA,NA,NA
31.775,31.57,31.5425,31.5275,113476000,28.755165,31.79340004,31.5441499,31.52789986,31.24860018,202784048,28.73971534,NA,NA,NA,NA,NA,NA,NA
31.535,31.387501,31.1875,31.115,207828000,28.431536,31.82155002,31.57939992,31.55384988,31.2793502,201328632,28.76551448,NA,NA,NA,NA,NA,NA,NA
